 ProcessId, PlanId, ProcessTitle                 , ProcessDocument , ProcessState , ProcessStateReason , StartDate               , EndDate                 , PendingInvokesCount , ModifiedCount ,NumberOfJumpSteps,NumberOfServicesPresent,ProceessType
3.67589E+17,3.59627E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2019-10-12 08:29:23.392 , 2019-10-12 08:30:23.449 ,0,15,0,2, SubProcess
3.71198E+17,3.70818E+17, SubProcessWithWaitInMinutes2 , NULL            ,0,101, 2019-10-22 07:30:03.803 , 2019-10-22 07:31:03.857 ,0,15,4,2, SubProcess
4.75199E+17,3.59627E+17, SubProcessWithWaitInSeconds  , NULL            ,0,101, 2020-08-04 07:09:20.000 , 2020-08-04 07:09:44.898 ,0,15,1,2, SubProcess
5.10709E+17,3.70818E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2020-11-10 06:54:00.622 , 2020-11-10 06:55:00.670 ,0,15,2,2, SubProcess
5.76695E+17,5.76365E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2021-05-11 09:00:17.803 , 2021-05-11 09:01:17.831 ,0,12,1,4, SubProcess
6.32916E+17,5.76365E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2021-10-13 12:21:47.441 , 2021-10-13 12:22:47.507 ,0,15,4,3, SubProcess
6.459E+17,5.76365E+17, SubProcessWithWaitInMinutes2 , NULL            ,0,101, 2021-11-18 08:14:31.499 , 2021-11-18 08:15:31.577 ,0,15,4,3, SubProcess
6.81453E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,0,101, 2022-02-24 10:52:46.643 , 2022-02-24 10:53:46.702 ,0,13,4,3, SubProcess
6.83726E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2022-03-02 17:22:29.952 , 2022-03-02 17:23:30.003 ,0,13,1,1, SubProcess
7.13323E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2022-05-23 09:29:40.423 , 2022-05-23 09:30:40.466 ,0,13,4,0, SubProcess
7.1831E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2022-06-06 03:46:32.885 , 2022-06-06 03:47:32.936 ,0,13,3,3, SubProcess
7.19236E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,0,101, 2022-06-08 17:07:50.804 , 2022-06-08 17:08:50.885 ,0,12,1,4, SubProcess
7.33572E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,0,101, 2022-07-18 06:35:02.199 , 2022-07-18 06:36:02.267 ,0,12,3,2, SubProcess
7.48967E+17,6.81453E+17, SubProcessWithWaitInMinutes2 , NULL            ,1,101, 2022-08-29 18:09:16.009 , 2022-08-29 18:10:16.060 ,0,12,4,3, SubProcess
